id;business_code;customer_user_id;placed_date;total_tax_value;total_due_value;status;invoice_id;estimated_delivery_date
1;ew truly except;versus since out;2024-06-02T23:20:28;12570.33;11190.78;CANCELLED;31894;2024-06-02T22:56:50
2;whet once;along when;2024-06-03T06:10:54;23944.04;16238.41;COMPLETED;22593;2024-06-03T08:15:36
3;that;hm anxiously busily;2024-06-03T10:10:08;15212.36;32619.49;CANCELLED;1964;2024-06-03T05:41:35
4;amused plus;fervently;2024-06-03T17:48:45;7225.95;6703.55;CANCELLED;18922;2024-06-03T14:47:59
5;frosty gosh runway;correctly moonscape;2024-06-03T06:46:08;18541.16;20933.57;PENDING;18131;2024-06-03T04:21:01
6;weave enthusiastical;fairy inasmuch ribbon;2024-06-03T06:22:41;5592.73;11679.46;PENDING;14325;2024-06-03T15:29:08
7;after successfully a;likewise;2024-06-02T21:19:21;24474.63;12521.43;PENDING;18539;2024-06-03T09:05:42
8;ninja;over whether;2024-06-03T16:11:18;9844.42;32396.49;PENDING;6219;2024-06-03T09:33:11
9;failing motion conse;phew;2024-06-03T15:29:34;15579.62;27802.51;PENDING;20615;2024-06-03T17:21:11
10;athwart monthly from;raven kindheartedly industry;2024-06-03T07:00:33;5684.13;23265.4;COMPLETED;25767;2024-06-03T11:14:50
