id;acronym;name;description;logo_brand;logo_brand_content_type
1;gigantic lovable;alongside dugout bah;where angelic;../fake-data/blob/hipster.png;image/png
2;shape unlike amid;patiently;pish gosh whoa;../fake-data/blob/hipster.png;image/png
3;underestimate franti;oof assault;documentation well;../fake-data/blob/hipster.png;image/png
4;breathalyze regardin;failing;mummify batter;../fake-data/blob/hipster.png;image/png
5;whinny pricey wherev;supposing eulogise;hmph aw gadzooks;../fake-data/blob/hipster.png;image/png
6;accidentally crafty ;alongside;weakly loyally;../fake-data/blob/hipster.png;image/png
7;supplement aw;meld suddenly scale;gadzooks jib;../fake-data/blob/hipster.png;image/png
8;businessman;who;easily phase;../fake-data/blob/hipster.png;image/png
9;without aboard;supposing completion;afterwards;../fake-data/blob/hipster.png;image/png
10;aw never;once consequently next;umpire unlike cleverly;../fake-data/blob/hipster.png;image/png
