id;acronym;hierarchical_level;name;activation_status;organization_id
1;aggravating toward;yellow gah;inspire since attractive;BLOCKED;1
2;quarrelsome snitch;militate;qualification sing;PENDENT;2
3;upon;till;bottle brake swirl;BLOCKED;3
4;given;joyously;worse faithfully;INVALID;4
5;ick blah over;safely candid;woot;PENDENT;5
6;adjourn knotty;ratepayer unaccountably as;instructive quarrelsome pitiful;INVALID;6
7;leafy afore embossin;stables curtail whereas;tobacco whose er;ON_HOLD;7
8;foolhardy;during;eventually;ON_HOLD;8
9;fully coaxingly;flight stretch;woot assimilate master;BLOCKED;9
10;whether given;aim yowza;dusk;BLOCKED;10
