id;acronym;name;description;handler_clazz_name
1;gah angina;who anxiously how;subtle supposing zowie;behind while frigid
2;propitiate well-documented cur;yippee cynic bleak;nor enrich reader;plunge
3;extremely;separate;place;lest happily aha
4;nocturnal;wrongly;prettify amid boldly;organization
5;correctly reasoning untried;once mission save;gosh;deliberately upliftingly
6;pet;clumsy gigantic yowza;kissingly;meanwhile
7;cleaner;enterprise;gracefully than jaded;muffin
8;notwithstanding thunder;thunderous when bah;but provided rally;greedily roost
9;leafy;arrogance pedal;finally;tenderly per website
10;flashy belated hoist;since;shadowy;seek promptly
