id;acronym;name;continent;geo_polygon_area;geo_polygon_area_content_type
1;kee;scornful attractive after;EUROPE;../fake-data/blob/hipster.png;image/png
2;an ;stranger highly;AFRICA;../fake-data/blob/hipster.png;image/png
3;phe;even slow yawningly;AFRICA;../fake-data/blob/hipster.png;image/png
4;bri;as;SOUTH_AMERICA;../fake-data/blob/hipster.png;image/png
5;fem;now aha ew;EUROPE;../fake-data/blob/hipster.png;image/png
6;yah;gratefully fatally;CENTRAL_AMERICA;../fake-data/blob/hipster.png;image/png
7;gos;fade cockroach;NORTH_AMERICA;../fake-data/blob/hipster.png;image/png
8;org;slimy wry overjoyed;OCEANIA;../fake-data/blob/hipster.png;image/png
9;sur;truthfully;AFRICA;../fake-data/blob/hipster.png;image/png
10;mat;binoculars blissfully;SOUTH_AMERICA;../fake-data/blob/hipster.png;image/png
