id;customer_business_code;fullname;custom_attributes_details_json;customer_status;activation_status;buyer_person_id
1;second-hand pho;wagon;now;UNDER_EVALUATION;INACTIVE;1
2;toward troop;hope qua;for gadzooks;UNDER_EVALUATION;ON_HOLD;2
3;aw;yogurt;crayon anenst;PENDENT;INVALID;3
4;seldom;athwart geez;yard golf dimly;ONBOARDING;BLOCKED;4
5;happy-go-lucky;boo vice fooey;aboard valiantly;IN_FAILURE;ON_HOLD;5
6;though;conversation instead a;entree offensively;READY_TO_START;BLOCKED;6
7;after quirkily;upon onto forfend;towards;IN_FAILURE;PENDENT;7
8;midst huzzah ex;fondly pipe;noxious;UNDER_EVALUATION;ON_HOLD;8
9;keep than slug;blueberry absent summarize;gleefully hilarious bravely;READY_TO_START;INACTIVE;9
10;whoa whether ro;wassail phew;blah graduate winter;READY_TO_START;INVALID;10
