id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;town_city_id
1;near;between pish mandolin;../fake-data/blob/hipster.png;image/png;1
2;baker ou;before own;../fake-data/blob/hipster.png;image/png;2
3;than yah;graffiti gee furthermore;../fake-data/blob/hipster.png;image/png;3
4;abaft pl;zowie duh;../fake-data/blob/hipster.png;image/png;4
5;until of;hm why uselessly;../fake-data/blob/hipster.png;image/png;5
6;platinum;daily worrisome deceivingly;../fake-data/blob/hipster.png;image/png;6
7;elegantl;sardonic whoever;../fake-data/blob/hipster.png;image/png;7
8;flustere;before;../fake-data/blob/hipster.png;image/png;8
9;fragrant;finally radiant;../fake-data/blob/hipster.png;image/png;9
10;aha volu;correctly;../fake-data/blob/hipster.png;image/png;10
