id;invoice_id;transaction_created_date;transaction_modified_date;quantity;transaction_comments;activation_status;supplier_id;product_id;warehouse_id
1;11964;2024-06-07T01:50:05;2024-06-07T17:17:27;5603;apud archives;BLOCKED;1;1;1
2;15804;2024-06-07T17:23:45;2024-06-07T12:44:07;777;upright retouching beside;ACTIVE;2;2;2
3;11446;2024-06-07T09:10:42;2024-06-07T17:18:13;9011;silently;ON_HOLD;3;3;3
4;4918;2024-06-07T04:56:31;2024-06-07T16:58:31;17217;inject;ACTIVE;4;4;4
5;21562;2024-06-07T03:57:33;2024-06-07T18:29:38;16775;yowza reassuringly whoever;BLOCKED;5;5;5
6;28323;2024-06-07T06:29:17;2024-06-07T15:13:49;19362;wearily um;ON_HOLD;6;6;6
7;26058;2024-06-07T18:41:26;2024-06-07T03:24:45;26676;oh;INVALID;7;7;7
8;8075;2024-06-06T21:49:04;2024-06-07T00:04:19;22042;beneath um;BLOCKED;8;8;8
9;22785;2024-06-07T11:49:19;2024-06-07T04:48:52;32516;back knowledgeably;ACTIVE;9;9;9
10;31318;2024-06-07T17:16:10;2024-06-07T08:04:35;22102;shrill meatball;PENDENT;10;10;10
