id;business_code;invoice_date;due_date;description;tax_value;shipping_value;amount_due_value;number_of_installments_original;number_of_installments_paid;amount_paid_value;status;custom_attributes_details_json;activation_status
1;distinguish vic;2024-06-07T13:56:25;2024-06-07T07:16:33;calmly;22093.38;26142.69;30030.01;20793;6907;31685.72;PAYING_IN_INSTALLMENTS;ack knowledgeable;INACTIVE
2;wrench;2024-06-06T21:40:53;2024-06-07T09:24:44;begonia;13692.52;1930.31;5648.47;31157;18713;26377.33;PAID_ONCE;lively annually between;ACTIVE
3;bartender reass;2024-06-06T21:29:05;2024-06-06T23:05:51;unless remunerate remount;19585.89;583.43;27323.79;20483;4070;27451.21;PAID_ONCE;shabby latter;BLOCKED
4;wallpaper kenne;2024-06-07T05:38:39;2024-06-07T10:07:42;anenst watchful sleepily;7407.74;12298.41;2409.07;860;27664;28847.77;CANCELLED;page carve over;INVALID
5;purse leek usel;2024-06-07T01:21:03;2024-06-07T15:25:05;unto calmly yum;23030.33;9581.23;16516.42;19835;27495;12089.13;ISSUED;similar order circa;INVALID
6;extremely;2024-06-07T12:45:45;2024-06-07T12:49:02;waggle why;9747.7;5203.35;2596.2;5442;17272;1621.75;CANCELLED;whoa mister meaty;PENDENT
7;boo;2024-06-07T15:30:39;2024-06-06T22:40:41;knavishly zowie;6736.54;4035.1;3406.34;321;32319;5943.3;PAID_ONCE;out less;BLOCKED
8;lest full;2024-06-07T19:27:02;2024-06-07T00:29:24;psst well-documented;26296.59;22488.86;6051.57;6222;12803;13715.05;ISSUED;gadzooks;INACTIVE
9;incidentally sc;2024-06-07T10:09:07;2024-06-07T18:53:22;noisily ouch puzzled;24095.43;1938.63;3928.13;9095;15604;30140.23;ISSUED;mislead tot;INVALID
10;alien however;2024-06-06T20:42:45;2024-06-06T23:12:06;visor as;26951.47;13951.25;3493.19;24927;7224;23076.7;ISSUED;queasy prejudge celsius;BLOCKED
