id;acronym;name;description;geo_polygon_area;geo_polygon_area_content_type;country_id
1;scribble;evolution until;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;1
2;perfecti;utterly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2
3;standard;amongst;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;3
4;roughly ;murky left lovable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;4
5;semester;aside reasonable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;5
6;price th;falter bah shameful;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;6
7;phooey t;lest opposite whereas;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;7
8;abnormal;against uh-huh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;8
9;anti shi;when per;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;9
10;quarrels;while oof;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10
