id;business_code;placed_date;total_tax_value;total_due_value;status;estimated_delivery_date;activation_status;customer_id
1;ew truly except;2024-06-07T03:35:26;31732.02;3356.59;PENDING;2024-06-07T11:47:10;BLOCKED;1
2;crossly sate vicious;2024-06-07T10:40:25;24575.88;564.22;CANCELLED;2024-06-07T09:38:00;BLOCKED;2
3;successfully volunta;2024-06-07T09:20:47;24939.41;20558.33;CANCELLED;2024-06-07T07:49:45;INACTIVE;3
4;boogeyman poorly rel;2024-06-07T01:14:48;7351.26;1130.04;CANCELLED;2024-06-07T05:20:00;INACTIVE;4
5;vector influence;2024-06-06T22:03:13;31456.85;1023.15;COMPLETED;2024-06-07T04:49:07;INVALID;5
6;naturalize as;2024-06-06T20:20:43;18921.59;8792.06;CANCELLED;2024-06-07T01:33:55;ACTIVE;6
7;exemplary jubilantly;2024-06-07T19:08:50;6251.3;9198.63;CANCELLED;2024-06-07T09:28:29;PENDENT;7
8;blah next posh;2024-06-07T09:44:54;28867.85;17501.33;PENDING;2024-06-06T20:15:26;INVALID;8
9;for meanwhile;2024-06-07T06:00:17;20094.07;17413.75;PENDING;2024-06-07T13:46:45;ACTIVE;9
10;ick outlet pottery;2024-06-07T03:48:22;30533.95;31823.96;COMPLETED;2024-06-07T00:31:20;INACTIVE;10
