id;domain_acronym;name;is_verified;business_handler_clazz;activation_status;organization_id
1;ouch ashamed lazy;upon absentmindedly numeracy;false;pro muddy loyally;ACTIVE;1
2;fooey;worth than crease;true;sanity righteously;BLOCKED;2
3;unnecessarily;ballet wither adventurous;true;shyly beret;BLOCKED;3
4;mama;hm restfully questioningly;true;zero for aggregate;INACTIVE;4
5;caulk;gherkin meh;false;cultivated sister-in-law;BLOCKED;5
6;often situate really;barring oof;false;upright;PENDENT;6
7;hop purse;misrepresentation;false;sponsor when uh-huh;INVALID;7
8;ha medicine woefully;indeed;false;vice miserably diabetes;INACTIVE;8
9;as dogwood;blissfully;false;delirious;BLOCKED;9
10;cheer meh;loyally;false;yahoo whereas;INACTIVE;10
