id;installment_number;payment_due_date;payment_paid_date;payment_amount;type_of_payment;status_payment;custom_attributes_details_json;activation_status;payment_gateway_id
1;6066;2024-06-07T10:22:48;2024-06-06T23:25:08;23439.55;OTHER;CANCELLED;about uneven;INACTIVE;1
2;18980;2024-06-06T22:19:11;2024-06-07T09:32:34;31783.91;BANK_TRANSFER;DELAYED;quarrelsomely;ACTIVE;2
3;858;2024-06-07T09:01:02;2024-06-07T11:53:47;23426.33;DEBIT;OPEN;given;ACTIVE;3
4;14821;2024-06-07T11:06:04;2024-06-06T21:03:24;14780.5;CASH;DELAYED;qua pfft uniform;ON_HOLD;4
5;21147;2024-06-07T07:38:25;2024-06-07T02:42:44;3124.43;CREDIT;PAID;whoa;PENDENT;5
6;16542;2024-06-07T01:00:00;2024-06-07T01:11:42;6580.53;BANK_TRANSFER;CANCELLED;hence aha ouch;ON_HOLD;6
7;15676;2024-06-06T21:17:57;2024-06-07T00:54:58;29700.8;BANK_TRANSFER;DELAYED;into;ON_HOLD;7
8;20108;2024-06-06T20:36:07;2024-06-07T01:28:05;10463.46;OTHER;OPEN;heavily briefly than;ON_HOLD;8
9;23269;2024-06-06T23:04:31;2024-06-07T06:57:12;1940.09;CASH;PAID;awkwardly except lovingly;INVALID;9
10;15491;2024-06-07T12:22:52;2024-06-07T03:51:01;2109.69;DEBIT;DELAYED;instead potentially fatally;ACTIVE;10
