id;alias_code;description;business_handler_clazz;activation_status
1;emotional;though snort vice;aha towards whereas;BLOCKED
2;shingle whether broo;shoo gah;brr scary;BLOCKED
3;salty defensive soci;off;slushy;ACTIVE
4;sentimental yum;wetly fooey skimp;clash if onto;ON_HOLD
5;gee hm;grandmom until;after ethical violently;ON_HOLD
6;nor anenst;total loathsome growling;finally venture;ON_HOLD
7;regularise legal;juxtapose;wherever;INACTIVE
8;buttery even;shell;triumphantly;INACTIVE
9;triangular attract f;who nor or;by;PENDENT
10;upon remix;of;meanwhile;INVALID
