id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;country_id
1;fur;courageously;../fake-data/blob/hipster.png;image/png;1
2;wea;invalid;../fake-data/blob/hipster.png;image/png;2
3;pro;disregard;../fake-data/blob/hipster.png;image/png;3
4;bit;astrology excepting;../fake-data/blob/hipster.png;image/png;4
5;gad;intently besides;../fake-data/blob/hipster.png;image/png;5
6;val;noisily past kindly;../fake-data/blob/hipster.png;image/png;6
7;who;acidly arrogantly;../fake-data/blob/hipster.png;image/png;7
8;ast;since lambaste;../fake-data/blob/hipster.png;image/png;8
9;saf;swap anaesthetise;../fake-data/blob/hipster.png;image/png;9
10;fat;eek heed;../fake-data/blob/hipster.png;image/png;10
