id;name;status_raw_processing;full_filename_path;asset_raw_content_as_blob;asset_raw_content_as_blob_content_type;custom_attributes_details_json;asset_type_id
1;indict indeed;UPLOADED;minus;../fake-data/blob/hipster.png;image/png;daily athwart which;1
2;up;UPLOADED;well-to-do after;../fake-data/blob/hipster.png;image/png;degree;2
3;ack;FAILURE;whoa promptly;../fake-data/blob/hipster.png;image/png;brunch yahoo however;3
4;whoever fooey minus;WAITING_FOR_PROCESSING;hobnob uncoil;../fake-data/blob/hipster.png;image/png;deeply indeed;4
5;immediately almost questionably;FAILURE;bough credential phooey;../fake-data/blob/hipster.png;image/png;puzzle;5
6;mainstream only;DONE;ew unlawful;../fake-data/blob/hipster.png;image/png;generously somebody;6
7;regarding;FAILURE;once;../fake-data/blob/hipster.png;image/png;immunise although;7
8;prevaricate abaft before;UPLOADING;dimple boohoo fit;../fake-data/blob/hipster.png;image/png;the;8
9;instead component across;UPLOADED;how happily audit;../fake-data/blob/hipster.png;image/png;although;9
10;with;DONE;hence;../fake-data/blob/hipster.png;image/png;cautiously attached dimension;10
