id;last_modified_date;remaining_quantity;common_attributes_details_json;warehouse_id;product_id
1;2024-06-07T09:23:08;15719;till shark flick;1;1
2;2024-06-07T13:18:07;15962;comfortable lest;2;2
3;2024-06-07T03:00:05;9256;zucchini;3;3
4;2024-06-07T03:45:29;11728;apropos above;4;4
5;2024-06-06T23:01:04;7958;unfortunately eek;5;5
6;2024-06-06T23:07:13;17378;huzzah round;6;6
7;2024-06-07T11:39:14;17581;helplessly midst vicious;7;7
8;2024-06-07T02:42:54;18268;billet;8;8
9;2024-06-06T20:30:06;28105;exotic;9;9
10;2024-06-07T17:21:46;29778;inwardly famously furthermore;10;10
