id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;province_id
1;anti ouc;when bossy;../fake-data/blob/hipster.png;image/png;1
2;leafy ug;meanwhile;../fake-data/blob/hipster.png;image/png;2
3;biff;because to;../fake-data/blob/hipster.png;image/png;3
4;concerni;store;../fake-data/blob/hipster.png;image/png;4
5;lucky up;now circa arena;../fake-data/blob/hipster.png;image/png;5
6;yippee u;sizzling;../fake-data/blob/hipster.png;image/png;6
7;ferociou;center;../fake-data/blob/hipster.png;image/png;7
8;reassuri;aw inveigle;../fake-data/blob/hipster.png;image/png;8
9;mmm ioni;unabashedly;../fake-data/blob/hipster.png;image/png;9
10;towards ;evergreen stand;../fake-data/blob/hipster.png;image/png;10
