id;acronym;name;description;handler_clazz_name;custom_attributes_details_json
1;barring;brr whenever beneath;rear adulterate;issue;victimize
2;aside jovially;average ratify believe;gentle;secure while although;psst whose nest
3;bah addition hiring;um since;although hence till;blah bashfully hence;correctly mantua
4;boohoo detest an;whose yum;quaintly fast;reluctantly short-term signup;finally gleefully runny
5;amid pure;command near bossy;safely photograph speedily;oof fiercely as;insubstantial vapid
6;although although contention;pish lest connive;carelessly waterlogged section;shrilly unto;pointless quash configuration
7;drat;given considering psst;how row;but musty hydrolyze;gah
8;before;classroom tofu;fairly;electricity animal;reassemble queasily even
9;rejuvenate inside artifact;quicker baritone;tonight brr tread;pish wither;subconscious that undulate
10;because measure revenge;out unwelcome;after against;rudely wrathful;during rigidly when
