id;name;description;business_handler_clazz
1;heavily cruelly;intensely pertinent;now grumpy
2;helplessly like ques;code;stingy inasmuch
3;prudent majestically;onto;pfft
4;boxspring;charm though tightly;supposing apud
5;ha unethically;past gracefully feminine;impractical yum
6;whether roasted next;oof;willfully energetically er
7;that;past than zowie;ugh yowl
8;downright novel;wearily not thoughtfully;legislate boo previous
9;badly shampoo;however so amongst;psst
10;canon;abundance;uselessly duh
