id;acronym;name;description;business_handler_clazz
1;whether superior hyd;compassionate;athwart;steel move
2;differentiate;tomorrow required;gentle masculinize;frugal unless
3;a than invader;whoever however;repair;difficulty
4;squeegee;yuck infection;frightened joshingly;rundown stalk original
5;oof;incidentally so burdensome;but;chill supposing
6;queasily abaft;cling;plague excepting;that
7;aw;like yam;weekly octave;successfully new
8;on carefully;statement damaged yum;er despite taper;qua roughly
9;whether oh off;odd likely blah;towards;playful skeletal poignance
10;veto;spellcheck;phooey;meaningfully softly
