id;acronym;name;description;street_address;house_number;location_name;postal_code;point_location;point_location_content_type;main_email;land_phone_number;mobile_phone_number;fax_number;custom_attributes_details_json;activation_status
1;encumber houseboat;along fat;likewise descale;loudly favorable that;breakable between;above samovar absent;melon cru;../fake-data/blob/hipster.png;image/png;"p\Kf@e'TVVq.:nZB";flimsy regardin;steep standardi;well-worn firew;ovary judgementally;ON_HOLD
2;printing;sheath;now supernatural physically;hmph how;wildly next judo;eggnog palatalise;lopsided ;../fake-data/blob/hipster.png;image/png;"nho<4#@U{O,^./wwKr";considering pff;yahoo;brace commuter;finally sardine phew;PENDENT
3;limply gush;eek;excluding or;note that;layer;fame corny;haven bey;../fake-data/blob/hipster.png;image/png;"n{z>@)G(X.=QnUc1";rocket obedient;above amongst;insecure focuse;tiara gullible;INACTIVE
4;route;forenenst;resign until;boohoo since little;how unless;hmph;zany acid;../fake-data/blob/hipster.png;image/png;"=OU@(}7:.lJ";that successful;and homely;hmph whip;mmm teacher;INVALID
5;altruistic;athletic though;psst ick;lopsided;usually;robust highly mumbling;coaxingly;../fake-data/blob/hipster.png;image/png;"v;3W=@s=L!|.4?^Pl";phooey plowman;remorseful gosh;sympathetically;what besides jiffy;PENDENT
6;hog sensitivity;blow recess;rapidly;huzzah bitterly;fast;unless recent onto;pish;../fake-data/blob/hipster.png;image/png;"jX@--v$F.tJg+";adult;which inside ge;painfully who e;after murky skill;INVALID
7;rare;spending uh-huh failing;yieldingly;gee;beyond beautifully;oof generally;wherever ;../fake-data/blob/hipster.png;image/png;"7xsS!t@`y.3/lV";basic hmph heav;woot freezer du;prattle that ov;cruelly excepting;INVALID
8;usable hm whose;civilise across deficient;acre who;positively furthermore as;breakdown;inquisitively separate;mmm afore;../fake-data/blob/hipster.png;image/png;"yA\*f.@3~]1.B90";phew despite;sleek fooey;wide-eyed sudde;secede;BLOCKED
9;irradiate freighter;madly underneath as;clarification or;whereas;ugh roasted vice;fabulous yippee;reacquain;../fake-data/blob/hipster.png;image/png;"LtxcF@5J_#.k]-";anti hm vice;plywood;phew consequent;plunder sardonic;ACTIVE
10;shofar brave;onto;exert far;gossip huzzah;whoever;yellowish minus frenetically;indeed sa;../fake-data/blob/hipster.png;image/png;"TPiAv\@07O-.Hc,8q";triumphantly le;that mantle;sharply slather;bruise down after;PENDENT
